MN_No,MA_No,Pali_Chunk_ID,Han_Seg_ID,Mapping_Quality,Han_Fanout,Confidence_Tier,Emb_Sim_Combined,Lex_Overlap,Hyb_Similarity,P_Char_Len,H_Char_Len,Div_Score,Div_Type,Div_Confidence,Missing_Term_Score,Len_Asymmetry,Emb_Z,Sutta_Emb_Mean,Sutta_Emb_Std,Missing_Terms,Present_Terms,Pali_Text,Han_Text
82,132,MN.82.c098,MA.132.105,TRUE_PAIR,1,3,0.0421,0.0,0.0253,124,7,0.9832,SEMANTIC_DRIFT,HIGH,1.0,4.147,2.553,0.2141,0.0674,sabbam|pahaya|katham,,assako loko sabbaṃ pahāya gamanīya nti bhavaṃ raṭṭhapālo āha imassa pana bho raṭṭhapāla bhāsitassa kathaṃ attho daṭṭhabbo ti,治者 我必取之
121,190,MN.121.c008,MA.190.4,TRUE_PAIR,1,3,0.0631,0.0,0.0378,247,1,0.9748,OMISSION,HIGH,1.0,7.948,0.974,0.1719,0.1117,seyyathapi|ananda|evameva|bhikkhu|sabbam|paticca,,seyyathāpi ānanda āsabhacammaṃ saṅkusatena suvihataṃ vigatavalikaṃ evameva kho ānanda bhikkhu yaṃ imissā pathaviyā ukkūlavikkūlaṃ nadīviduggaṃ khāṇukaṇṭakaṭṭhānaṃ pabbatavisamaṃ taṃ sabbaṃ amanasikaritvā pathavīsaññaṃ paṭicca manasi karoti ekattaṃ,耶
50,131,MN.50.c040,MA.131.68,TRUE_PAIR,1,3,0.0821,0.0,0.0492,207,23,0.9672,SEMANTIC_DRIFT,HIGH,1.0,3.17,2.618,0.2715,0.0723,papima|tamha|tassa|honti|itipi,,sahāpalokanāya ca pana pāpima dūsī māro tamhā ca ṭhānā cavi mahānirayañca upapajji tassa kho pana pāpima mahānirayassa tayo nāmadheyyā honti chaphassāyataniko itipi saṅkusamāhato itipi paccattavedaniyo itipi,魔汝莫厭佛 莫嬈害比丘 一比丘降魔 住在於怖林
125,198,MN.125.c057,MA.198.41,TRUE_PAIR,1,3,0.0836,0.0,0.0502,169,17,0.9666,SEMANTIC_DRIFT,HIGH,1.0,3.313,2.024,0.2428,0.0787,cepi|ranno|avinito|sankham|gacchati,,mahallako cepi aggivessana rañño nāgo adanto avinīto kālaṅkaroti adantamaraṇaṃ mahallako rañño nāgo kālaṅkato tveva saṅkhaṃ gacchati majjhimo cepi aggivessana rañño nāgo,可重 實可供養 為一切天人良福田也
21,193,MN.21.c001,MA.193.1,TRUE_PAIR,1,3,0.0851,0.0,0.0511,180,21,0.966,SEMANTIC_DRIFT,HIGH,1.0,3.1,2.775,0.2438,0.0572,ekam|bhagava|viharati|tena|samayena|ayasma|saddhim,,evaṃ me sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena kho pana samayena āyasmā moḷiyaphagguno bhikkhunīhi saddhiṃ ativelaṃ saṃsaṭṭho viharati,我聞如是 一時 佛遊舍衛國 在勝林給孤獨園
40,183,MN.40.c006,MA.183.3,TRUE_PAIR,1,3,0.0458,0.0833,0.0608,274,11,0.965,OMISSION,HIGH,1.0,4.639,1.481,0.2483,0.1367,vadami,,nāhaṃ bhikkhave ubbhaṭṭhakassa ubbhaṭṭhakamattena sāmaññaṃ vadāmi nāhaṃ bhikkhave pariyāyabhattikassa pariyāyabhattikamattena sāmaññaṃ vadāmi nāhaṃ bhikkhave mantajjhāyakassa mantajjhāyakamattena sāmaññaṃ vadāmi nāhaṃ bhikkhave jaṭilakassa jaṭādhāraṇamattena sāmaññaṃ vadāmi,諸比丘白曰 爾也 世尊
93,151,MN.93.c001,MA.151.1,TRUE_PAIR,1,3,0.092,0.0,0.0552,213,21,0.9632,SEMANTIC_DRIFT,HIGH,1.0,3.342,1.969,0.237,0.0737,ekam|bhagava|viharati|tena|samayena,,evaṃ me sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena kho pana samayena nānāverajjakānaṃ brāhmaṇānaṃ pañcamattāni brāhmaṇasatāni sāvatthiyaṃ paṭivasanti kenacideva karaṇīyena,我聞如是 一時 佛遊舍衛國 在勝林給孤獨園
78,179,MN.78.c003,MA.179.3,TRUE_PAIR,1,3,0.0935,0.0,0.0561,285,26,0.9626,OMISSION,HIGH,1.0,3.454,1.138,0.2431,0.1315,yena|pancakango|thapati,,yaṃnūnāhaṃ yena samayappavādako tindukācīro ekasālako mallikāya ārāmo yena uggāhamāno paribbājako samaṇamuṇḍikāputto tenupasaṅkameyya nti atha kho pañcakaṅgo thapati yena samayappavādako tindukācīro ekasālako mallikāya ārāmo yena uggāhamāno paribbājako samaṇamuṇḍikāputto tenupasaṅkami,一娑邏末利異學園 於是 五支物主便至比道遊戲歡樂 近
75,153,MN.75.c024,MA.153.20,TRUE_PAIR,1,3,0.0942,0.0,0.0565,166,12,0.9623,SEMANTIC_DRIFT,HIGH,1.0,3.79,1.958,0.2593,0.0843,kamehi|annatra|akusalehi|dhammehi|sukham|taya|tattha,,yāhayaṃ māgaṇḍiya rati aññatreva kāmehi aññatra akusalehi dhammehi api dibbaṃ sukhaṃ samadhigayha tiṭṭhati tāya ratiyā ramamāno hīnassa na pihemi na tattha abhiramāmi,壞地 敗壞地者 無可用耶
22,200,MN.22.c025,MA.200.12,TRUE_PAIR,1,3,0.0945,0.0,0.0567,179,11,0.9622,SEMANTIC_DRIFT,HIGH,1.0,4.024,2.388,0.259,0.0689,tvam|attana|ceva|bhavissati,,atha ca pana tvaṃ moghapurisa attanā duggahitena amhe ceva abbhācikkhasi attānañca khanasi bahuñca apuññaṃ pasavasi tañhi te moghapurisa bhavissati dīgharattaṃ ahitāya dukkhāyā ti,法答 我今當問諸比丘也
31,185,MN.31.c018,MA.185.19,TRUE_PAIR,1,3,0.0948,0.0,0.0569,168,16,0.9621,SEMANTIC_DRIFT,HIGH,1.0,3.392,2.02,0.2283,0.0661,atthi|anuruddha|siya|bhante,,atthi pana vo anuruddhā evaṃ appamattānaṃ ātāpīnaṃ pahitattānaṃ viharantānaṃ uttarimanussadhammā alamariyañāṇadassanaviseso adhigato phāsuvihāro ti kiñhi no siyā bhante,問曰 金毘羅 云何安隱 無所乏耶
27,146,MN.27.c001,MA.146.1,TRUE_PAIR,1,3,0.0947,0.0,0.0568,263,21,0.9621,SEMANTIC_DRIFT,HIGH,1.0,3.647,2.141,0.2646,0.0793,ekam|bhagava|viharati|tena|samayena|brahmano,,evaṃ me sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena kho pana samayena jāṇussoṇi brāhmaṇo sabbasetena vaḷavābhirathena sāvatthiyā niyyāti divādivassa addasā kho jāṇussoṇi brāhmaṇo pilotikaṃ paribbājakaṃ dūratova āgacchantaṃ,我聞如是 一時 佛遊舍衛國 在勝林給孤獨園
75,153,MN.75.c038,MA.153.40,TRUE_PAIR,1,3,0.0739,0.0,0.0444,166,25,0.9615,SEMANTIC_DRIFT,HIGH,1.0,2.731,2.199,0.2593,0.0843,kamehi|annatra|akusalehi|dhammehi|sukham|taya|tattha,,yāhayaṃ māgaṇḍiya rati aññatreva kāmehi aññatra akusalehi dhammehi api dibbaṃ sukhaṃ samadhigayha tiṭṭhati tāya ratiyā ramamāno hīnassa na pihemi na tattha abhiramāmi,坑炙 如是更生瘡轉增多 本瘡轉大 然彼反以癩瘡為樂
75,153,MN.75.c002,MA.153.2,TRUE_PAIR,1,3,0.0853,0.0,0.0512,186,26,0.9605,SEMANTIC_DRIFT,HIGH,1.0,2.839,2.064,0.2593,0.0843,yena|ajjhogahetva,,kammāsadhammaṃ piṇḍāya caritvā pacchābhattaṃ piṇḍapātapaṭikkanto yena aññataro vanasaṇḍo tenupasaṅkami divāvihārāya taṃ vanasaṇḍaṃ ajjhogāhetvā aññatarasmiṃ rukkhamūle divāvihāraṃ nisīdi,爾時 世尊過夜平旦 著衣持鉢 入釰摩瑟曇次第乞食 食
97,27,MN.97.c035,MA.27.24,TRUE_PAIR,1,3,0.1012,0.0,0.0607,288,9,0.9595,SEMANTIC_DRIFT,HIGH,1.0,5.0,2.409,0.2466,0.0603,atthi|dhananjani|ceva|papakammam|mannasi|hetu|assa,,atthi kho dhanañjāni aññesaṃ hetukā dhammikā kammantā yehi sakkā mātāpitaro ceva posetuṃ na ca pāpakammaṃ kātuṃ puññañca paṭipadaṃ paṭipajjituṃ taṃ kiṃ maññasi dhanañjāni yo vā puttadārassa hetu adhammacārī visamacārī assa yo vā puttadārassa hetu dhammacārī samacārī assa katamaṃ seyyo ti,灌 請尊者舍梨子食
13,99,MN.13.c001,MA.99.1,TRUE_PAIR,1,3,0.1025,0.0,0.0615,186,21,0.959,OMISSION,HIGH,1.0,3.147,1.217,0.2187,0.0955,ekam|bhagava|viharati|bhikkhu,,evaṃ me sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme atha kho sambahulā bhikkhū pubbaṇhasamayaṃ nivāsetvā pattacīvaramādāya sāvatthiṃ piṇḍāya pāvisiṃsu,我聞如是 一時 佛遊舍衛國 在勝林給孤獨園
24,9,MN.24.c022,MA.9.20,TRUE_PAIR,1,3,0.1046,0.0,0.0628,292,5,0.9582,SEMANTIC_DRIFT,HIGH,1.0,5.868,1.982,0.244,0.0703,avuso|panavuso,,kiṃ nu kho āvuso diṭṭhivisuddhi anupādāparinibbāna nti no hidaṃ āvuso kiṃ panāvuso kaṅkhāvitaraṇavisuddhi anupādāparinibbāna nti no hidaṃ āvuso kiṃ nu kho āvuso maggāmaggañāṇadassanavisuddhi anupādāparinibbāna nti no hidaṃ āvuso kiṃ panāvuso paṭipadāñāṇadassanavisuddhi anupādāparinibbāna nti,答曰 不也
135,170,MN.135.c018,MA.170.28,TRUE_PAIR,1,3,0.0939,0.0,0.0564,131,18,0.9579,SEMANTIC_DRIFT,HIGH,1.0,2.863,2.089,0.2245,0.0625,kayassa|bheda|param|marana|sugatim|saggam|lokam|sace,,no ce kāyassa bhedā paraṃ maraṇā sugatiṃ saggaṃ lokaṃ upapajjati sace manussattaṃ āgacchati yattha yattha paccājāyati pāsādiko hoti,掊床四脚下 鸚鵡摩納便從彼處大得寶物
22,200,MN.22.c065,MA.200.43,TRUE_PAIR,1,3,0.1058,0.0,0.0635,231,18,0.9577,SEMANTIC_DRIFT,HIGH,1.0,3.682,2.224,0.259,0.0689,tathagatassa|nirodhaya,,so suṇāti tathāgatassa vā tathāgatasāvakassa vā sabbesaṃ diṭṭhiṭṭhānādhiṭṭhānapariyuṭṭhānābhinivesānusayānaṃ samugghātāya sabbasaṅkhārasamathāya sabbūpadhipaṭinissaggāya taṇhākkhayāya virāgāya nirodhāya nibbānāya dhammaṃ desentassa,椎胸而發狂癡 比丘 如是因內有恐怖也
78,179,MN.78.c004,MA.179.4,TRUE_PAIR,1,3,0.1079,0.0,0.0647,248,15,0.9568,OMISSION,HIGH,1.0,4.047,1.029,0.2431,0.1315,tena|samayena|saddhim|nisinno|hoti|anekavihitam|seyyathidam,,tena kho pana samayena uggāhamāno paribbājako samaṇamuṇḍikāputto mahatiyā paribbājakaparisāya saddhiṃ nisinno hoti unnādiniyā uccāsaddamahāsaddāya anekavihitaṃ tiracchānakathaṃ kathentiyā seyyathidaṃ rājakathaṃ corakathaṃ mahāmattakathaṃ senākathaṃ,巾頭阿梨 往詣一娑邏末利異學園
82,132,MN.82.c015,MA.132.8,TRUE_PAIR,1,3,0.1097,0.0,0.0658,259,13,0.9561,SEMANTIC_DRIFT,HIGH,1.0,4.316,1.55,0.2141,0.0674,vutte|etadavocum|tvam|mayam|bhavissama,,evaṃ vutte raṭṭhapālassa kulaputtassa mātāpitaro raṭṭhapālaṃ kulaputtaṃ etadavocuṃ tvaṃ khosi tāta raṭṭhapāla amhākaṃ ekaputtako piyo manāpo sukhedhito sukhaparibhato na tvaṃ tāta raṭṭhapāla kassaci dukkhassa jānāsi maraṇenapi te mayaṃ akāmakā vinā bhavissāma,世尊告曰 居士子 隨汝所欲
82,132,MN.82.c034,MA.132.24,TRUE_PAIR,1,3,0.0985,0.0,0.0591,221,31,0.9551,SEMANTIC_DRIFT,HIGH,1.0,2.834,1.716,0.2141,0.0674,sace|tumhe|agarasma|anagariyam,,sace tumhe raṭṭhapālaṃ kulaputtaṃ nānujānissatha agārasmā anagāriyaṃ pabbajjāya tattheva maraṇaṃ āgamissati sace pana tumhe raṭṭhapālaṃ kulaputtaṃ anujānissatha agārasmā anagāriyaṃ pabbajjāya pabbajitampi naṃ dakkhissatha,愛樂 見無厭足 彼將去度 當莫與食 尊者賴吒惒羅知已 便速出去
82,132,MN.82.c077,MA.132.84,TRUE_PAIR,1,3,0.1084,0.0,0.065,232,30,0.955,SEMANTIC_DRIFT,HIGH,1.0,2.951,1.569,0.2141,0.0674,sutva|agarasma|anagariyam|pabbajito|idha|honti|tassa|parikkhayam,,kiṃ bhavaṃ raṭṭhapālo ñatvā vā disvā vā sutvā vā agārasmā anagāriyaṃ pabbajito katamañca bho raṭṭhapāla ñātipārijuññaṃ idha bho raṭṭhapāla ekaccassa bahū honti mittāmaccā ñātisālohitā tassa te ñātakā anupubbena parikkhayaṃ gacchanti,皆能射御 嚴毅勇猛 王子 力士 鍮邏騫提摩訶能伽 占相 策慮
27,146,MN.27.c008,MA.146.6,TRUE_PAIR,1,3,0.1138,0.0,0.0683,284,20,0.9545,SEMANTIC_DRIFT,HIGH,1.0,3.828,1.901,0.2646,0.0793,samano|gotamo|gotamena|ceva|samanam|vadam|savaka,,te samaṇo gotamo dhammiyā kathāya sandasseti samādapeti samuttejeti sampahaṃseti te samaṇena gotamena dhammiyā kathāya sandassitā samādapitā samuttejitā sampahaṃsitā na ceva samaṇaṃ gotamaṃ pañhaṃ pucchanti kutossa vādaṃ āropessanti aññadatthu samaṇasseva gotamassa sāvakā sampajjanti,卑盧異學答曰 梵志 我見世尊禮事 供養來
77,207,MN.77.c006,MA.207.3,TRUE_PAIR,1,3,0.1175,0.0,0.0705,220,15,0.953,OMISSION,HIGH,1.0,3.874,1.316,0.2094,0.0698,bhante|bhagava|ekamantam|etadavoca,,nisīdatu bhante bhagavā idamāsanaṃ paññatta nti nisīdi bhagavā paññatte āsane sakuludāyīpi kho paribbājako aññataraṃ nīcaṃ āsanaṃ gahetvā ekamantaṃ nisīdi ekamantaṃ nisinnaṃ kho sakuludāyiṃ paribbājakaṃ bhagavā etadavoca,檀著於肩上 往至孔雀林異學園中
99,152,MN.99.c026,MA.152.37,TRUE_PAIR,1,3,0.1183,0.0,0.071,258,26,0.9527,SEMANTIC_DRIFT,HIGH,1.0,3.311,2.205,0.2631,0.0657,bhasitam|nama|netam|thanam|vijjati,,tesamidaṃ bhāsitaṃ hassakaṃyeva sampajjati nāmakaṃyeva sampajjati rittakaṃyeva sampajjati tucchakaṃyeva sampajjati kathañhi nāma manussabhūto uttarimanussadhammā alamariyañāṇadassanavisesaṃ ñassati vā dakkhati vā sacchi vā karissatīti netaṃ ṭhānaṃ vijjatī ti,夜婆陀揵尼 六曰應疑羅婆 七曰婆私吒 八曰迦葉 九曰
82,132,MN.82.c107,MA.132.124,TRUE_PAIR,1,3,0.1203,0.0,0.0722,300,22,0.9519,OMISSION,HIGH,1.0,3.769,1.392,0.2141,0.0674,tattha|maharaja|mayam,,bahū tattha hatthikāyā assakāyā rathakāyā pattikāyā bahu tattha dhanadhaññaṃ bahu tattha hiraññasuvaṇṇaṃ akatañceva katañca bahu tattha itthipariggaho sakkā ca tāvatakeneva balamattena abhivijinituṃ abhivijina mahārājā ti kinti naṃ kareyyāsī ti tampi mayaṃ bho raṭṭhapāla abhivijiya ajjhāvaseyyāmā ti,果熟自墮 老少亦如斯 欲莊美愛樂 心趣好惡色
123,32,MN.123.c013,MA.32.9,TRUE_PAIR,1,3,0.1196,0.0,0.0717,251,32,0.9512,SEMANTIC_DRIFT,HIGH,1.0,2.972,2.435,0.3098,0.0781,tattha|satta|kira|santi|loke,,yepi tattha sattā upapannā tepi tenobhāsena aññamaññaṃ sañjānanti aññepi kira bho santi sattā idhūpapannāti ayañca dasasahassī lokadhātu saṅkampati sampakampati sampavedhati appamāṇo ca uḷāro obhāso loke pātubhavati atikkammeva devānaṃ devānubhāva nti,住母胎 不為血所污 亦不為精及諸不淨所污者 我受持是世尊未曾有法
49,78,MN.49.c004,MA.78.5,TRUE_PAIR,1,3,0.1134,0.0,0.068,171,23,0.9511,SEMANTIC_DRIFT,HIGH,1.0,2.894,2.117,0.2752,0.0764,etadavoca|imam|yadidam,,addasā kho maṃ bhikkhave bako brahmā dūratova āgacchantaṃ disvāna maṃ etadavoca ehi kho mārisa svāgataṃ mārisa cirassaṃ kho mārisa imaṃ pariyāyamakāsi yadidaṃ idhāgamanāya,申臂頃 於舍衛國勝林給孤獨園忽沒不現 往梵天上
22,200,MN.22.c049,MA.200.30,TRUE_PAIR,1,3,0.1233,0.0,0.074,144,7,0.9507,SEMANTIC_DRIFT,HIGH,1.0,4.363,1.97,0.259,0.0689,nissaya|sotthina|param,,yaṃnūnāhaṃ tiṇakaṭṭhasākhāpalāsaṃ saṃkaḍḍhitvā kullaṃ bandhitvā taṃ kullaṃ nissāya hatthehi ca pādehi ca vāyamamāno sotthinā pāraṃ uttareyya nti,椑栰 乘之而度
143,28,MN.143.c023,MA.28.37,TRUE_PAIR,1,3,0.121,0.0,0.0726,178,23,0.95,SEMANTIC_DRIFT,HIGH,1.0,2.952,1.977,0.28,0.0805,gahapati|sikkhitabbam|upadiyissami|bhavissati|evanhi,,tasmātiha te gahapati evaṃ sikkhitabbaṃ na cakkhusamphassajaṃ vedanaṃ upādiyissāmi na ca me cakkhusamphassajāvedanānissitaṃ viññāṇaṃ bhavissatī ti evañhi te gahapati sikkhitabbaṃ,轉輪王所敬 玉女寶第一 往詣佛一步 不當十六分
43,211,MN.43.c040,MA.211.74,TRUE_PAIR,1,3,0.1254,0.0,0.0752,246,31,0.9495,SEMANTIC_DRIFT,HIGH,1.0,2.988,1.732,0.2487,0.0712,panavuso|avuso,,kati panāvuso paccayā animittāya cetovimuttiyā vuṭṭhānāyā ti dve kho āvuso paccayā animittāya cetovimuttiyā vuṭṭhānāya sabbanimittānañca manasikāro animittāya ca dhātuyā amanasikāro ime kho āvuso dve paccayā animittāya cetovimuttiyā vuṭṭhānāyā ti,尊者大拘絺羅答曰 比丘入滅盡定時 先滅身行 次滅口行 後滅意行
97,27,MN.97.c029,MA.27.20,TRUE_PAIR,1,3,0.1264,0.0,0.0759,146,4,0.9494,SEMANTIC_DRIFT,HIGH,1.0,5.19,1.991,0.2466,0.0603,mannasi|dhananjani|ranno|hetu|assa|tamenam,,taṃ kiṃ maññasi dhanañjāni idhekacco rañño hetu adhammacārī visamacārī assa tamenaṃ adhammacariyāvisamacariyāhetu nirayaṃ nirayapālā upakaḍḍheyyuṃ,加蘭哆園
