MN_No,MA_No,Mapping_Quality,Pali_Num,Expected_Han,Found_Han,Missing,Pali_Text,Han_Text
10,98,SOFT,cha,6|六,,6|六,yo hi koci bhikkhave ime cattāro satipaṭṭhāne evaṃ bhāveyya cha māsāni pe pañca māsāni cattāri,云何觀心如心念處 比丘者 有欲心知有欲心如真 無欲心知無欲心如真 有恚 無恚 有癡 無癡 有穢污 無穢污 有合 有散 有下 有高 有小 有大 修 不修 定 不定 有不解脫心知不解脫心如真 有解脫心知解脫心如真 如是比丘觀內心如心 觀外心如心 立念在心 有知有見 有明有達 是謂比丘觀心如心 若有比丘 
14,100,TRUE_PAIR,dve,2|二,,2|二,ahaṃ kho āvuso nigaṇṭhā pahomi aniñjamāno kāyena abhāsamāno vācaṃ dve rattindivāni tīṇi rattindivāni,頻鞞娑羅王樂 沙門瞿曇不如也
14,100,TRUE_PAIR,cha,6|六,,6|六,cattāri rattindivāni pañca rattindivāni cha rattindivāni satta rattindivāni ekantasukhaṃ paṭisaṃvedī viharituṃ,我復語曰 汝等癡狂 所說無義 所以者何 汝等不善 無所曉了 而不知時 謂汝作是說 如頻鞞娑羅王樂 沙門瞿曇不如也 尼揵 汝等本應如是問 誰樂勝 為頻鞞娑羅王 為沙門瞿曇耶 尼揵 若我如是說我樂勝 頻鞞娑羅王不如者 尼揵 汝等可得作是語 如頻鞞娑羅王樂 沙門瞿曇不如也 彼諸尼揵即如是說 瞿曇 我等今問
14,100,TRUE_PAIR,satta,7|七,,7|七,cattāri rattindivāni pañca rattindivāni cha rattindivāni satta rattindivāni ekantasukhaṃ paṭisaṃvedī viharituṃ,我復語曰 汝等癡狂 所說無義 所以者何 汝等不善 無所曉了 而不知時 謂汝作是說 如頻鞞娑羅王樂 沙門瞿曇不如也 尼揵 汝等本應如是問 誰樂勝 為頻鞞娑羅王 為沙門瞿曇耶 尼揵 若我如是說我樂勝 頻鞞娑羅王不如者 尼揵 汝等可得作是語 如頻鞞娑羅王樂 沙門瞿曇不如也 彼諸尼揵即如是說 瞿曇 我等今問
32,184,TRUE_PAIR,dve,2|二,,2|二,evaṃ vutte bhante āyasmā mahāmoggallāno maṃ etadavoca idhāvuso sāriputta dve bhikkhū abhidhammakathaṃ kathenti,尊者舍梨子白曰 世尊 賢者阿難如是說已 我復問曰 賢者離越哆 賢者阿難比丘已說隨所知 我今復問賢者離越哆 此牛角
43,211,TRUE_PAIR,dve,2|二,三,2|二,dve kho āvuso paccayā animittāya cetovimuttiyā samāpattiyā sabbanimittānañca amanasikāro animittāya ca dhātuyā manasikāro,尊者大拘絺羅答曰 覺 想 思 此三法合不別 此三法不可別施設 所以者何 覺所覺者 即是想所想 思所思 是故此三法合不別 此三法不可別施設
43,211,TRUE_PAIR,dve,2|二,,2|二,ime kho āvuso dve paccayā animittāya cetovimuttiyā samāpattiyā ti,復問曰 賢者拘絺羅 滅者有何對
91,161,TRUE_PAIR,satta,7|七,一,7|七,tassimāni satta ratanāni bhavanti seyyathidaṃ cakkaratanaṃ hatthiratanaṃ assaratanaṃ maṇiratanaṃ itthiratanaṃ gahapatiratanaṃ pariṇāyakaratanameva sat,復次 尊 沙門瞿曇手足極妙 柔弱軟軟 猶兜羅華 是謂 尊 沙門瞿曇大人大人之相 復次 尊 沙門瞿曇肌皮軟細 塵水不著 是謂 尊 沙門瞿曇大人大人之相 復次 尊 沙門瞿曇一一毛 一一毛者 身一一孔一毛生 色若紺青 如螺右旋 是謂 尊 沙門瞿曇大人大人之相 復次 尊 沙門瞿曇鹿
91,161,TRUE_PAIR,dve,2|二,,2|二,addasā kho uttaro māṇavo bhagavato kāye dvattiṃsamahāpurisalakkhaṇāni yebhuyyena thapetvā dve,復次 尊 我見沙門瞿曇著衣 已著衣 被衣 已被衣 出房 已出房 出園 已出園 行道至村間 入村 已入村 在巷 入家 已入家 正床 已正床 坐 已坐 澡手 已澡手 受飲食 已受飲食 食 已食 澡手呪願 從坐起 出家 已出家 在巷 出村 已出村 入園 已入園 入房 已入房 尊 沙門瞿曇著衣齊整
91,161,TRUE_PAIR,dve,2|二,,2|二,atha kho bhagavato etadahosi passati kho me ayaṃ uttaro māṇavo dvattiṃsamahāpurisalakkhaṇāni yebhuyyena thapetvā dve,彼出房時 身不低仰 尊 沙門瞿曇出房時 終不低身 尊 沙門瞿曇若欲行時 先舉右足 正舉正下 行不擾亂 亦無惡亂 行時兩
93,151,TRUE_PAIR,dve,2|二,四,2|二,taṃ kiṃ maññasi assalāyana idhāssu dve māṇavakā bhātaro saudariyā eko ajjhāyako upanīto dussīlo pāpadhammo eko anajjhāyako anupanīto sīlavā kalyāṇadha,於是 阿攝惒邏延多那摩納即從坐起 欲稽首佛足 爾時 彼大眾唱高大音聲 沙門瞿曇甚奇 甚特 有大如意足 有大威德 有大福祐 有大威神 所以者何 如沙門瞿曇說 四種姓皆悉清淨施設顯示 令阿攝惒邏延多那摩納 亦說四種姓皆悉清淨
93,151,TRUE_PAIR,satta,7|七,三,7|七,te hi nāma assalāyana satta brāhmaṇisayo asitena devalena isinā sake jātivāde samanuyuñjīyamānā,於是 阿攝惒邏延多那摩納 佛為說法 勸發渴仰 成就歡喜已 即從坐起 稽首佛足 繞三匝而去 是時 拘薩羅眾多梵志還去不遠 種種言語
101,19,TRUE_PAIR,dasa,10|十,,10|十,evaṃvādīnaṃ bhikkhave tathāgatānaṃ ime dasa sahadhammikā pāsaṃsaṭṭhānā āgacchantī ti,佛說如是 彼諸比丘聞佛所說 歡喜奉行
104,196,TRUE_PAIR,cha,6|六,一,6|六,tasmātihānanda ime cha sāraṇīye dhamme samādāya vattatha taṃ vo bhavissati dīgharattaṃ hitāya sukhāyā ti,喜不諍 同一一心 同一一教 合一水乳 快樂遊行 如我在時
108,145,SOFT,dasa,10|十,一,10|十,atthi kho brāhmaṇa tena bhagavatā jānatā passatā arahatā sammāsambuddhena dasa pasādanīyā dhammā akkhātā,尊者阿難聞已 告曰 雨勢 莫作是說 沙門瞿曇稱說一切伺 所以者何 世尊或稱說伺 或不稱說
108,145,TRUE_PAIR,dasa,10|十,一|三|二|四,10|十,katame dasa idha brāhmaṇa bhikkhu sīlavā hoti pātimokkhasaṃvarasaṃvuto viharati ācāragocarasampanno aṇumattesu vajjesu bhayadassāvī samādāya sikkhati ,尊者阿難答曰 雨勢 或有一貪欲所纏而起貪欲 不知出要如真 彼為貪欲所障礙故 伺 增伺而重伺 雨勢 是謂第一伺 世尊不稱說 復次 雨勢 或有一瞋恚所纏而起瞋恚 不知出要如真 彼為瞋恚所障礙故 伺 增伺而重伺 雨勢 是謂第二伺 世尊不稱說 復次 雨勢 睡眠所纏而起睡眠 不知出要如真 彼為睡眠所障礙故 伺
112,187,TRUE_PAIR,cha,6|六,,6|六,katamā cha pathavīdhātu āpodhātu tejodhātu vāyodhātu ākāsadhātu viññāṇadhātu imā kho āvuso cha dhātuyo tena bhagavatā jānatā passatā arahatā sammāsamb,取充軀 我所往處 衣鉢自隨 無有顧戀 猶如鴈鳥與兩翅俱飛翔空中 我亦如是 諸賢 我已成就此聖戒身及極知足 復守諸根 常念閉塞 念欲明達 守護念心 而得成就 恒欲起意 若眼見色 然不受
125,198,SOFT,dve,2|二,一,2|二,seyyathāpissu aggivessana dve hatthidammā vā assadammā vā godammā vā sudantā suvinītā dve hatthidammā vā assadammā vā godammā vā adantā avinītā,耆婆先那中後仿佯 至沙彌阿夷那和提所 共相問訊 却坐一面 語曰 賢者
125,198,SOFT,dve,2|二,一,2|二,taṃ kiṃ maññasi aggivessana ye te dve hatthidammā vā assadammā vā godammā vā,耆婆先那中後仿佯 至沙彌阿夷那和提所 共相問訊 却坐一面 語曰 賢者
125,198,SOFT,dve,2|二,一,2|二,ye pana te dve hatthidammā vā assadammā vā godammā vā adantā avinītā api nu te adantāva dantakāraṇaṃ,耆婆先那中後仿佯 至沙彌阿夷那和提所 共相問訊 却坐一面 語曰 賢者
125,198,SOFT,dve,2|二,一,2|二,gaccheyyuṃ adantāva dantabhūmiṃ sampāpuṇeyyuṃ seyyathāpi te dve hatthidammā vā assadammā vā godammā vā sudantā suvinītā ti,耆婆先那中後仿佯 至沙彌阿夷那和提所 共相問訊 却坐一面 語曰 賢者
125,198,TRUE_PAIR,dve,2|二,一,2|二,tamenaṃ dve sahāyakā tamhā gāmā vā nigamā vā nikkhamitvā hatthavilaṅghakena yena so pabbato,沙彌答曰 賢王童子 實比丘此法 律中不放逸 行精勤 得一心
130,64,TRUE_PAIR,dve,2|二,,2|二,seyyathāpi bhikkhave dve agārā sadvārā tattha cakkhumā puriso majjhe ṭhito passeyya manusse gehaṃ,爾時 世尊告諸比丘 我以淨天眼出過於人 見此眾生死時 生時 好色 惡色 或妙 不妙 往來善處及不善處 隨此眾生之所作業 見其如真 若此眾生成就身惡行 口 意惡行 誹謗聖人 邪見成就邪見業 彼因緣此 身壞命終 必至惡處 生地獄中 若此眾生成就身妙行 口 意妙行 不誹謗聖人 正見成就正見業 彼因緣此 身
137,163,TRUE_PAIR,cha,6|六,,6|六,cha ajjhattikāni āyatanāni veditabbāni cha bāhirāni āyatanāni veditabbāni cha viññāṇakāyā veditabbā,時 諸比丘白曰 世尊 唯當受教
137,163,TRUE_PAIR,cha,6|六,一,6|六,tatra bhikkhave yāni cha nekkhammasitāni somanassāni tāni nissāya tāni āgamma yāni cha gehasitāni somanassāni tāni pajahatha tāni samatikkamatha,依無所有處 或依非有想非無想處 此捨一更樂 不若干更樂 謂此捨有一更樂 不若干更樂 取是 依是 住是也 謂此捨有無量更樂 若干更樂 滅彼 除彼 吐彼 如是斷彼也 取無量 依無量 住無量 謂此捨有一更樂 不若干更樂 取是 依是 住是也 謂此捨有無量更樂 若干更樂 滅彼 除彼 吐彼 如是斷彼也 於中斷彼
137,163,TRUE_PAIR,cha,6|六,一|四,6|六,evametesaṃ pahānaṃ hoti evametesaṃ samatikkamo hoti tatra bhikkhave yāni cha nekkhammasitāni domanassāni tāni nissāya tāni āgamma yāni cha gehasitāni ,無量說法當知內者 此何因說 如來有四弟子 有增上行 有增上意 有增上念 有增上慧 有辯才成就第一辯才 壽活百歲 如來為彼說法滿百年 除飲食時 大小便時 睡眠息時及聚會時 彼如來所說法 文句法句觀義 以慧而速觀義 不復更問於如來法 所以者何 如來說法無有極不可盡法 文句法句觀義 乃至四弟子命終 猶如四
137,163,SOFT,cha,6|六,一|三,6|六,evametesaṃ pahānaṃ hoti evametesaṃ samatikkamo hoti tatra bhikkhave yā cha nekkhammasitā upekkhā tā nissāya tā āgamma yā cha gehasitā upekkhā tā pajah,三意止 謂聖人所習 聖人所習已 眾可教者 此何因說 若如來為弟子說法 憐念愍傷 求義及饒益 求安隱快樂 發慈悲心 是為饒益 是為快樂 是為饒益樂 若彼弟子而不恭敬 亦不順行 不立於智 其心不趣向法 次法 不受正法 違世尊教 不能得定者 世尊不以此為憂慼也 但世尊捨無所為 常念常智 是謂第一意止 謂聖
137,163,SOFT,cha,6|六,一|三,6|六,evametāsaṃ pahānaṃ hoti evametāsaṃ samatikkamo hoti tatra bhikkhave yāni cha nekkhammasitāni somanassāni tāni nissāya tāni āgamma yāni cha nekkhammasi,三意止 謂聖人所習 聖人所習已 眾可教者 此何因說 若如來為弟子說法 憐念愍傷 求義及饒益 求安隱快樂 發慈悲心 是為饒益 是為快樂 是為饒益樂 若彼弟子而不恭敬 亦不順行 不立於智 其心不趣向法 次法 不受正法 違世尊教 不能得定者 世尊不以此為憂慼也 但世尊捨無所為 常念常智 是謂第一意止 謂聖
137,163,SOFT,cha,6|六,一|三,6|六,evametesaṃ pahānaṃ hoti evametesaṃ samatikkamo hoti tatra bhikkhave yā cha nekkhammasitā upekkhā tā nissāya tā āgamma yāni cha nekkhammasitāni somanas,三意止 謂聖人所習 聖人所習已 眾可教者 此何因說 若如來為弟子說法 憐念愍傷 求義及饒益 求安隱快樂 發慈悲心 是為饒益 是為快樂 是為饒益樂 若彼弟子而不恭敬 亦不順行 不立於智 其心不趣向法 次法 不受正法 違世尊教 不能得定者 世尊不以此為憂慼也 但世尊捨無所為 常念常智 是謂第一意止 謂聖
140,162,TRUE_PAIR,cha,6|六,,6|六,cha somanassupavicārā cha domanassupavicārā cha upekkhupavicārā,世尊問曰 若見師者 為識不耶
