MN_No,MA_No,N_Pali_Chunks,N_Han_Segs,Max_Fanout,Total_Pali_Chars,Mean_Han_Chars,Compression_Ratio,Omission_Severity,Sample_Pali,Sample_Han,Mean_Emb_Sim
39,182,45,1,45,11008,199.0,55.32,EXTREME,so pacchābhattaṃ piṇḍapātapaṭikkanto nisīdati pallaṅkaṃ ābhujitvā ujuṃ kāyaṃ paṇidhāya parimukhaṃ satiṃ upaṭṭhapetvā so abhijjhaṃ loke pahāya vigatābhijjhena cetasā viharati abhijjhāya cittaṃ parisodh,云何沙門 謂息止諸惡不善之法 諸漏穢污 為當來有本 煩熱苦報 生 老 病 死因 是謂沙門 云何梵志 謂遠離諸惡不善之法 諸漏穢污 為當來有本 煩熱苦報 生 老 病 死因 是謂梵志 云何為聖 謂遠離諸惡不善之法 諸漏穢污 為當來有本 煩熱苦報 生 老 病 死因 是謂為聖 云何淨浴 謂淨浴諸惡不善之法 諸漏穢污 為當來有本 煩熱苦報 生 老 病 死因 是謂淨浴 是謂沙門 是謂梵志 是謂為聖 是謂淨浴,0.4111
28,30,6,1,9,1469,27.0,54.41,EXTREME,yaṃ tathābhūtassa rūpaṃ taṃ rūpupādānakkhandhe saṅgahaṃ gacchati yā tathābhūtassa vedanā sā vedanupādānakkhandhe saṅgahaṃ gacchati yā tathābhūtassa saññā sā saññupādānakkhandhe saṅgahaṃ gacchati ye ta,尊者舍梨子所說如是 彼諸比丘聞尊者舍梨子所說 歡喜奉行,0.2953
15,89,53,2,41,12638,144.4,43.77,EXTREME,evaṃ jānantenāvuso bhikkhunā codito codakena codakassa na paccāropessāmī ti cittaṃ uppādetabbaṃ yo khvāyaṃ puggalo codito codakena aññenaññaṃ paṭicarati bahiddhā kathaṃ apanāmeti kopañca dosañca appac,諸賢 若比丘不請諸比丘 諸尊 語我 教我 訶我 莫難於我 所以者何 諸賢 或有一人善語 成就善語法 成就善語法故 諸梵行者善語彼 善教 善訶 不難彼人 諸賢 何者善語法 若有成就善語法者 諸梵行者善語彼 善教 善訶 不難彼人 諸賢 或有一人不惡欲 不念欲 諸賢 若有人不惡欲 不念欲者 是謂善語法 如是不染行染,0.3775
8,91,36,2,30,9010,157.0,28.69,EXTREME,seyyathāpi cunda ye keci akusalā dhammā sabbe te adhobhāgaṅgamanīyā ye keci kusalā dhammā sabbe te uparibhāgaṅgamanīyā evameva kho cunda vihiṃsakassa purisapuggalassa avihiṃsā hoti uparibhāgāya pāṇāti,周那 若有不自調御 他不調御欲調御者 終無是處 自沒溺 他沒溺欲拔出者 終無是處 自不般涅槃 他不般涅槃令般涅槃者 終無是處 周那 若有自調御 他不調御欲調御者 必有是處 自不沒溺 他沒溺欲拔出者 必有是處 自般涅槃 他不般涅槃令般涅槃者 必有是處 如是 周那 惡欲者 以非惡欲為般涅槃 害意瞋者 以不害意瞋為般涅槃 殺生 不與取 非梵行者 以梵行為般涅槃 增伺 諍意 睡眠,0.3372
20,101,8,1,8,2034,71.0,28.65,EXTREME,tesaṃ pahānā ajjhattameva cittaṃ santiṭṭhati sannisīdati ekodi hoti samādhiyati yato kho bhikkhave bhikkhuno yaṃ nimittaṃ āgamma yaṃ nimittaṃ manasikaroto uppajjanti pāpakā akusalā vitakkā chandūpasaṃ,念時亦不生惡念 以心修心 受持降伏時亦不生惡念者 便得自在 欲念則念 不念則不念 若比丘欲念則念 不欲念則不念者 是謂比丘隨意諸念 自在諸念跡,0.4288
113,85,27,2,21,6364,119.2,26.69,EXTREME,sappuriso ca kho bhikkhave iti paṭisañcikkhati na kho ñattena lobhadhammā vā parikkhayaṃ gacchanti dosadhammā vā parikkhayaṃ gacchanti mohadhammā vā parikkhayaṃ gacchanti no cepi ñāto hoti yasassī so ,佛言 云何不真人法 或有一人是豪貴族出家學道 餘者不然 彼因是豪貴族故 自貴賤他 是謂不真人法 真人法者作如是觀 我不因此是豪貴族故 斷婬 怒 癡 或有一人不是豪貴出家學道 彼行法如法 隨順於法 向法次法 彼因此故 得供養恭敬 如是趣向得真諦法者 不自貴 不賤他 是謂真人法,0.3601
63,221,8,1,8,1885,80.0,23.56,EXTREME,kiṃ nu tāhaṃ mālukyaputta evaṃ avacaṃ ehi tvaṃ mālukyaputta mayi brahmacariyaṃ cara ahaṃ te byākarissāmi sassato loko ti vā asassato loko ti vā antavā loko ti vā anantavā loko ti vā taṃ jīvaṃ taṃ sarī,如是 世無有常 世有底 世無底 命即是身 為命異身異 如來終 如來不終 如來終不終 如來亦非終亦非不終耶 我本頗為汝如是說此是真諦 餘皆虛妄言 汝來從我學梵行耶,0.4002
6,105,15,1,15,3922,170.0,23.07,EXTREME,iti sākāraṃ sauddesaṃ anekavihitaṃ pubbenivāsaṃ anussareyya nti sīlesvevassa paripūrakārī pe brūhetā suññāgārānaṃ ākaṅkheyya ce bhikkhave bhikkhu dibbena cakkhunā visuddhena atikkantamānusakena satte ,於是 彼比丘聞佛所說 善受善持 即從坐起 稽首佛足 繞三匝而去 彼比丘受佛此教 閑居靜處 宴坐思惟 修行精勤 心無放逸 因閑居靜處 宴坐思惟 修行精勤 心無放逸故 若族姓子所為 剃除鬚髮 著袈裟衣 至信 捨家 無家 學道者 唯無上梵行訖 於現法中自知自覺 自作證成就遊 生已盡 梵行已立 所作已辦 不更受有 知如真 彼尊者知法已 至得阿羅訶,0.3551
1,106,30,2,16,8852,202.8,21.82,EXTREME,taṃ kissa hetu pariññātaṃ tassā ti vadāmi āpaṃ pe tejaṃ vāyaṃ bhūte deve pajāpatiṃ brahmaṃ ābhassare subhakiṇhe vehapphale abhibhuṃ ākāsānañcāyatanaṃ viññāṇañcāyatanaṃ ākiñcaññāyatanaṃ nevasaññānāsaññ,我於地則知地 地非是神 地非神所 神非地所 我不計地即是神已 我便知地 如是水 火 風 神 天 生主 梵天 無煩 無熱 我於淨則知淨 淨非是神 淨非神所 神非淨所 我不計淨即是神已 我便知淨 無量空處 無量識處 無所有處 非有想非無想處 一 別 若干 見 聞 識 知 得觀意所念 意所思 從此世至彼世 從彼世至此世 我於一切則知一切 一切非是神 一切非神所 神非一切所 我不計一切即是神已 我便知一切,0.3451
101,19,60,5,24,14343,137.7,20.84,EXTREME,sace āvuso nigaṇṭhā yasmiṃ vo samaye tibbo upakkamo hoti tibbaṃ padhānaṃ na tibbā tasmiṃ samaye opakkamikā dukkhā tibbā kaṭukā vedanā vediyetha yasmiṃ pana vo samaye na tibbo upakkamo hoti na tibbaṃ p,彼或欲斷苦因 行欲 或欲斷苦因 行捨欲 彼若欲斷苦因 行欲者 即修其行欲 已斷者 苦便得盡 彼若欲斷苦因 行捨欲者 即修其行捨欲 已斷者 苦便得盡 若彼比丘便作是念 隨所為 隨所行 不善法生而善法滅 若自斷苦 不善法滅而善法生 我今寧可自斷其苦 便自斷苦 自斷苦已 不善法滅而善法生 不復斷苦 所以者何 比丘 本所為者 其義已成 若復斷苦 是處不然,0.3657
46,175,52,3,28,12789,207.1,20.59,EXTREME,seyyathāpi bhikkhave vassānaṃ pacchime māse saradasamaye viddhe vigatavalāhake deve ādicco nabhaṃ abbhussakkamāno sabbaṃ ākāsagataṃ tamagataṃ abhivihacca bhāsate ca tapate ca virocate ca evameva kho b,酥 蜜和若干種藥 或有人為病故服 服時好色香味 可口而不傷咽 服已在腹便成藥 如是此受法現樂 當來亦受樂報 彼慧者知如真 此受法現樂 當來亦受樂報 知如真已 便習行不斷 習行不斷已 便喜 愛 可法生 不喜 不愛 不可法滅 是謂慧法 彼習行法知如真 不習行法知如真 習行法知如真 不習行法知如真已 便習行法習 不習行法不習 習行法習 不習行法不習已 便喜 愛 可法生 不喜 不愛 不可法滅 是謂慧法 世,0.3175
77,207,18,3,12,5152,93.4,18.39,EXTREME,tatra ca pana me sāvakā bahū abhiññāvosānapāramippattā viharanti puna caparaṃ udāyi akkhātā mayā sāvakānaṃ paṭipadā yathāpaṭipannā me sāvakā anekavihitaṃ iddhividhaṃ paccanubhonti ekopi hutvā bahudhā ,復次 優陀夷 我常作閙比丘 比丘尼 優婆塞 優婆夷 或我弟子過半月一入眾 為法清淨故 亦作是說 我世尊燕坐 稱說燕坐 優陀夷 若我弟子因燕坐故 稱說我者 彼因此處故 不恭敬 尊重 供養 奉事我 亦不相隨 優陀夷 我無此五法 令諸弟子恭敬 尊重 供養 奉事我 常隨不離,0.3142
25,178,38,4,12,9839,159.5,15.42,EXTREME,evañhi te dutiyāpi samaṇabrāhmaṇā na parimucciṃsu mārassa iddhānubhāvā yaṃnūna mayaṃ amuṃ nivāpaṃ nivuttaṃ mārassa amūni ca lokāmisāni upanissāya āsayaṃ kappeyyāma tatrāsayaṃ kappetvā amuṃ nivāpaṃ niv,第三沙門 梵志亦作是念 第一 第二沙門 梵志一切不脫魔王 魔王眷屬境界 我今寧可離魔王 魔王眷屬 依住不遠 住不遠已 不近食世間信施食 不近食已 便不憍恣放逸 不放逸已 便不隨魔王 魔王眷屬 第三沙門 梵志作是念已 便離魔王 魔王眷屬 依住不遠 住不遠已 便不近食世間信施食 不近食已 便不憍恣放逸 不放逸已 便不隨魔王 魔王眷屬 然受持二見 有見及無見 彼受此二見故 便隨魔王 魔王眷屬 如是第三沙,0.2444
138,164,6,1,7,1524,99.0,15.39,EXTREME,tesaṃ no bhante amhākaṃ acirapakkantassa bhagavato etadahosi idaṃ kho no āvuso bhagavā saṃkhittena uddesaṃ uddisitvā vitthārena atthaṃ avibhajitvā uṭṭhāyāsanā vihāraṃ paviṭṭho tathā tathā bhikkhave bh,於是 諸比丘聞尊者大迦旃延所說 善受持誦 即從坐起 繞尊者大迦旃延三匝而去 往詣佛所 稽首作禮 却坐一面 白曰 世尊 向世尊略說此義 不廣分別 即從坐起 入室燕坐 尊者大迦旃延以此句 以此文而廣說之,0.3596
47,186,6,1,6,1692,114.0,14.84,EXTREME,tassa satthā dhammaṃ deseti uttaruttariṃ paṇītapaṇītaṃ kaṇhasukkasappaṭibhāgaṃ yathā yathā kho bhikkhave bhikkhuno satthā dhammaṃ deseti uttaruttariṃ paṇītapaṇītaṃ kaṇhasukkasappaṭibhāgaṃ tathā tathā ,我不知世尊心 亦非餘事知 我因世尊有如是靖信 世尊為我說法 上復上 妙復妙 善除黑白 賢者 如如世尊為我說法者 如是如是我聞 如來為我說法 上復上 妙復妙 善除黑白 如是如是我聞已 知斷一法 於諸法得究竟 靖信世尊 彼世尊正盡覺,0.4376
10,98,79,14,18,19317,94.2,14.65,EXTREME,ayaṃ vuccati bhikkhave sammāvāyāmo katamā ca bhikkhave sammāsati idha bhikkhave bhikkhu kāye kāyānupassī viharati ātāpī sampajāno satimā vineyya loke abhijjhādomanassaṃ vedanāsu vedanānupassī viharati,復次 比丘觀法如法 比丘者 內實有欲知有欲如真 內實無欲知無欲如真 若未生欲而生者知如真 若已生欲滅不復生者知如真 如是瞋恚 睡眠,0.3231
11,103,19,2,13,4944,178.6,13.84,EXTREME,imāni hi te bhonto samaṇabrāhmaṇā dve ṭhānāni yathābhūtaṃ nappajānanti tasmā te bhonto samaṇabrāhmaṇā sabbupādānapariññāvādā paṭijānamānā te na sammā sabbupādānapariññaṃ paññapenti kāmupādānassa pariñ,若有如來出世 無所著 等正覺 明行成為 善逝 世間解 無上士 道法御 天人師 號佛 眾祐 彼施設斷受 於現法中施設斷一切受 施設斷欲受 戒受 見受 我受 此四受何因 何習 從何而生 以何為本 此四受因無明 習無明 從無明生 以無明為本 若有比丘無明已盡 明已生者 彼便從是不復更受欲受 戒受 見受 我受 彼不受已 則不恐怖 不恐怖已 便斷因緣 必般涅槃 生已盡 梵行已立 所作已,0.3582
9,29,30,3,13,8254,204.5,13.45,EXTREME,katamañcāvuso kusalamūlaṃ alobho kusalamūlaṃ adoso kusalamūlaṃ amoho kusalamūlaṃ idaṃ vuccatāvuso kusalamūlaṃ yato kho āvuso ariyasāvako evaṃ akusalaṃ pajānāti evaṃ akusalamūlaṃ pajānāti evaṃ kusalaṃ ,答曰 有也 尊者舍梨子 謂有比丘知不善 知不善根 云何知不善 謂身惡行不善 口 意惡行不善 是謂知不善 云何知不善根 謂貪不善根 恚 癡不善根 是謂知不善根 尊者舍梨子 若有比丘如是知不善及不善根者 是謂比丘成就見 得正見 於法得不壞淨 入正法中,0.4035
40,183,11,1,11,2514,199.0,12.63,EXTREME,brāhmaṇakulā cepi pe vessakulā cepi pe suddakulā cepi pe yasmā kasmā cepi kulā agārasmā anagāriyaṃ pabbajito hoti so ca tathāgatappaveditaṃ dhammavinayaṃ āgamma evaṃ mettaṃ karuṇaṃ muditaṃ upekkhaṃ bh,云何沙門 謂息止諸惡不善之法 諸漏穢污 為當來有本 煩熱苦報 生 老 病 死因 是謂沙門 云何梵志 謂遠離諸惡不善之法 諸漏穢污 為當來有本 煩熱苦報 生 老 病 死因 是謂梵志 云何為聖 謂遠離諸惡不善之法 諸漏穢污 為當來有本 煩熱苦報 生 老 病 死因 是謂為聖 云何淨浴 謂淨浴諸惡不善之法 諸漏穢污 為當來有本 煩熱苦報 生 老 病 死因 是謂淨浴 是謂沙門 是謂梵志 是謂為聖 是謂淨浴,0.4103
19,102,19,2,12,4817,228.9,10.52,EXTREME,attabyābādhāya saṃvattatī tipi me bhikkhave paṭisañcikkhato abbhatthaṃ gacchati parabyābādhāya saṃvattatī tipi me bhikkhave paṭisañcikkhato abbhatthaṃ gacchati ubhayabyābādhāya saṃvattatī tipi me bhik,比丘者 隨所思 隨所念 心便樂中 若比丘多念欲念者 則捨無欲念 以多念欲念故 心便樂中 若比丘多念恚念 害念者 則捨無恚念 無害念 以多念恚念 害念故 心便樂中 如是 比丘不離欲念 不離恚念 不離害念者 則不能脫生 老 病 死 愁憂 啼哭 亦復不能離一切苦 我如是行 在遠離獨住 心無放逸 修行精勤 生無欲念 我即覺生無欲念 不自害 不害他 亦不俱害 修慧 不煩勞而得涅槃 覺不自害 不害他 亦不俱害,0.3438
78,179,13,2,7,3865,209.2,9.24,HEAVY,kathaṃ paṭipanno thapati akusalānaṃ sīlānaṃ nirodhāya paṭipanno hoti idha thapati bhikkhu anuppannānaṃ pāpakānaṃ akusalānaṃ dhammānaṃ anuppādāya chandaṃ janeti vāyamati vīriyaṃ ārabhati cittaṃ paggaṇh,物主 若多聞聖弟子以慧觀不善戒知如真 從生不善戒知如真 此不善戒滅無餘 敗壞無餘 知如真 以慧觀 賢聖弟子如是行者 滅不善戒知如真 以慧觀善戒知如真 從生善戒知如真 此善戒滅無餘 敗壞無餘 知如真 以慧觀 賢聖弟子如是行者 滅善戒知如真 以慧觀不善念知如真 從生不善念知如真 此不善念滅無餘 敗壞無餘 知如真 以慧觀 賢聖弟子如是行者 滅不善念知如真 以慧觀善念知如真 從生善念知如真 此善念滅無餘 ,0.4154
85,204,68,17,11,16859,113.2,8.76,HEAVY,tiṭṭhantu rājakumāra satta māsāni imehi pañcahi padhāniyaṅgehi samannāgato bhikkhu tathāgataṃ vināyakaṃ labhamāno yassatthāya kulaputtā sammadeva agārasmā anagāriyaṃ pabbajanti tadanuttaraṃ brahmacari,習 知此苦滅 知此苦滅道如真 知此漏如真 知此漏習 知此漏滅 知此漏滅道如真 彼如是知 如是見 欲漏心解脫 有漏 無明漏心解脫 解脫已便知解脫 生已盡 梵行已立 所作已辦 不更受有 知如真 彼於爾時自在行 自在住 自在坐 自在臥 所以者何 彼自見無量惡不善法盡 是故彼自在行 自在住 自在坐 自在臥,0.2995
14,100,6,1,6,1423,190.0,7.49,HEAVY,addhāyasmantehi nigaṇṭhehi sahasā appaṭisaṅkhā vācā bhāsitā na kho āvuso gotama sukhena sukhaṃ adhigantabbaṃ dukkhena kho sukhaṃ adhigantabbaṃ sukhena cāvuso gotama sukhaṃ adhigantabbaṃ abhavissa rājā,靜默無言 因是七日七夜得歡喜快樂耶 尼揵答曰 不也 瞿曇 六五四三二 一日一夜得歡喜快樂耶 尼揵答曰 不也 瞿曇 復問曰 尼揵 我可得如意靜默無言 因是一日一夜得歡喜快樂耶 尼揵答曰 如是 瞿曇 二三四五六 七日七夜得歡喜快樂耶 尼揵答曰 如是 瞿曇 我復問曰 諸尼揵等 於意云何 誰樂勝 為頻鞞娑羅王 為是我耶 尼揵答曰 瞿曇 如我等受解沙門瞿曇所說 瞿曇樂勝 頻鞞娑羅王不如也,0.2499
119,98,31,14,18,7814,96.0,5.81,HEAVY,seyyathāpi bhikkhave subhūmiyaṃ catumahāpathe ājaññaratho yutto assa ṭhito odhastapatodo tamenaṃ dakkho yoggācariyo assadammasārathi abhiruhitvā vāmena hatthena rasmiyo gahetvā dakkhiṇena hatthena pat,復次 比丘觀法如法 比丘者 內實有念覺支知有念覺支如真 內實無念覺支知無念覺支如真 若未生念覺支而生者知如真 若已生念覺支便住不忘而不衰退 轉修增廣者知如真 如是,0.3572
115,181,6,1,6,1350,237.0,5.7,HEAVY,aṭṭhānametaṃ anavakāso yaṃ vacīduccaritassa pe yaṃ manoduccaritassa iṭṭho kanto manāpo vipāko nibbatteyya netaṃ ṭhānaṃ vijjatī ti pajānāti ṭhānañca kho etaṃ vijjati yaṃ vacīduccaritassa pe yaṃ manoduc,阿難 若身惡行 口 意惡行 因此緣此 身壞命終 趣至善處 生於天中者 終無是處 若身惡行 口 意惡行 因此緣此 身壞命終 趣至惡處 生地獄中者 必有是處 阿難 若身妙行 口 意妙行 因此緣此 身壞命終 趣至惡處 生地獄中者 終無是處 若身妙行 口 意妙行 因此緣此 身壞命終 趣至善處 生天中者 必有是處 阿難 若身惡行 口 意惡行 受樂報者 終無是處 阿難 若身惡行 口 意惡行 受苦報者 必有是處,0.4039
26,204,44,17,11,10808,116.2,5.47,HEAVY,ayaṃ bhikkhave ariyā pariyesanā ahampi sudaṃ bhikkhave pubbeva sambodhā anabhisambuddho bodhisattova samāno attanā jātidhammo samāno jātidhammaṃyeva pariyesāmi attanā jarādhammo samāno jarādhammaṃyeva,云何聖求耶 有一作是念 我自實病法 無辜求病法 我自實老法 死法 愁憂慼法 穢污法 無辜求穢污法 我今寧可求無病無上安隱涅槃 求無老 無死 無愁憂慼 無穢污法無上安隱涅槃 彼人便求無病無上安隱涅槃 得無病無上安隱涅槃者 必有是處 求無老 無死 無愁憂慼 無穢污無上安隱涅槃 得無老 無死 無愁憂慼 無穢污無上安隱涅槃者 必有是處,0.3351
